trecho,ocorrencias
A,11123
AARAO,1886
AARON,1788
ABAD,1633
ABADE,11981
ABADI,1103
ABADIA,41354
ABADIAS,1006
ABADIO,6414
ABATE,1126
ABATI,1150
ABATTI,1205
ABBADE,1378
ABBAS,1494
ABBUD,1572
ABDALA,6483
ABDALLA,7539
ABDALLAH,2659
ABDEL,3131
ABDIAS,16247
ABDIEL,1395
ABDO,4886
ABDON,9492
ABDORAL,1611
ABDUL,4339
ABE,5946
ABEDIAS,1341
ABEL,58800
ABELARDO,13880
ABELHA,2009
ABELINA,1658
ABELINO,2722
ABGAIL,2486
ABI,2455
ABIA,1050
ABIAS,1219
ABIB,2611
ABIDIAS,2792
ABIGAIL,18880
ABIGAIR,1111
ABILENE,1370
ABILIA,1507
ABILIO,50924
ABIMAEL,9805
ABMAEL,2496
ABNER,14874
ABOU,3703
ABRAAO,31054
ABRAHAM,3536
ABRAHAO,20051
ABRAHIM,1149
ABRAMO,1333
ABRANCHES,4804
ABRANTE,1445
ABRANTES,29472
ABRAO,21149
ABRELINO,1587
ABREU,568091
ABRIL,1388
ABSALAO,1428
ABU,1559
ABUD,4190
ACACIA,6579
ACACIO,39941
ACASSIA,1267
ACASSIO,3341
ACCACIO,2196
ACCIOLY,5052
ACCORSI,1583
ACELINA,2157
ACELINO,7637
ACELIO,1094
ACERBI,1065
ACEVEDO,1867
ACHILES,2379
ACHILLES,2043
ACIDALIA,1189
ACIOLE,5195
ACIOLI,11163
ACIOLY,4070
ACIR,8705
ACORDI,1681
ACOSTA,24973
ACQUA,1424
ACRISIO,3126
ACSA,1769
ACUCENA,1259
ACUNA,2331
ACUNHA,3073
ACYR,2455
ADA,7807
ADAIANE,1342
ADAIAS,1899
ADAIL,11979
ADAILDE,1240
ADAILDO,3268
ADAILMA,1168
ADAILSON,15909
ADAILTO,2219
ADAILTON,59116
ADAILZA,2718
ADAIR,50941
ADALBERTO,82077
ADALGISA,21411
ADALGISO,1391
ADALGIZA,9734
ADALIA,4053
ADALICE,1740
ADALICIO,1542
ADALMIR,1971
ADALTO,16027
ADALTON,5907
ADALVA,1738
ADAM,9352
ADAMASTOR,1821
ADAME,1507
ADAMI,6582
ADAMO,2416
ADAMOR,1748
ADAMS,4862
ADAN,3584
ADAO,241152
ADAURI,1040
ADAUTO,35700
ADEBALDO,1009
ADECIO,1616
ADEGILSON,1054
ADEILDA,7425
ADEILDE,2787
ADEILDO,17372
ADEILMA,1790
ADEILSON,21509
ADEILTON,17642
ADEILZA,2931
ADEIR,4779
ADEL,1626
ADELA,1577
ADELAIDE,64858
ADELAINE,2201
ADELAR,13428
ADELCI,1106
ADELCIO,5432
ADELE,2598
ADELI,2411
ADELIA,68262
ADELIANE,1083
ADELICE,5695
ADELICIA,2284
ADELICIO,2454
ADELINA,59248
ADELINE,1990
ADELINO,68847
ADELIO,9573
ADELIR,5642
ADELITA,5388
ADELMA,7605
ADELMAR,2101
ADELMIR,1224
ADELMO,24323
ADELSO,2313
